Course,Quota,Category,Institute,Rank
BDS,Deemed/Paid Seats Quota,Open,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",872976
MBBS,Deemed/Paid Seats Quota,Open,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",642541
MBBS,Non-Resident Indian,Open,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",1035423
MBBS,All India,EWS,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",21619
MBBS,All India,OBC,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",21372
MBBS,All India,Open,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",18260
MBBS,All India,SC,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",111065
MBBS,All India,ST,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004",128338
MBBS,All India,EWS,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",22992
MBBS,All India,OBC,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",21895
MBBS,All India,Open,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",21597
MBBS,All India,SC,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006",114760
MBBS,Open Seat Quota,EWS,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",4203
MBBS,Open Seat Quota,OBC,"AIIMS Bathinda ,Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",3132
MBBS,Open Seat Quota,OBC,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh,All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal Pradesh, 174001",6055
MBBS,Open Seat Quota,OBC,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",9604
MBBS,Open Seat Quota,Open,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",7695
MBBS,Open Seat Quota,SC,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",80551
MBBS,Open Seat Quota,ST,"AIIMS Guahawti,PO-CHANGSARI, DISTRICT-KAMRUP, Assam, 781101",117153
MBBS,Open Seat Quota,EWS,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",10154
MBBS,Open Seat Quota,OBC,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",10095
MBBS,Open Seat Quota,SC,"AIIMS Jammu,AIIMS Vijaypur Samba Jammu, Jammu And Kashmir, 18410",70768
MBBS,Open Seat Quota,OBC,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",7198
MBBS,Open Seat Quota,Open,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",3352
MBBS,Open Seat Quota,ST,"AIIMS Mangalagiri ,ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI
MANGALAGIRI GUNTUR (Dt)
ANDHRA PRADESH, Andhra Pradesh, 522503",120467
MBBS,Open Seat Quota,EWS,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",9381
MBBS,Open Seat Quota,Open,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",7046
MBBS,Open Seat Quota,SC,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",51913
MBBS,Open Seat Quota,ST,"AIIMS Rajkot,Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",100335
MBBS,Open Seat Quota,EWS,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana
508126, Telangana, 508126",7501
MBBS,Open Seat Quota,OBC,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana
508126, Telangana, 508126",7903
MBBS,Open Seat Quota,Open,"AIIMS, Bibi Nagar, Hyderabad,AIIMS Bibinagar (Hyderabad Metropolitan Region) Telangana
508126, Telangana, 508126",6673
MBBS,Open Seat Quota,OBC,"AIIMS, Deogarh ,PANCHAYAT TRAINING INSTITUTE DABURGRAM JASIDIH DEOGHAR JHARKHAND-814142 (AIIMS TEMPORARY CAMPUS)",9470
