Course,Quota,Category,Institute,Rank
BDS,Deemed/Paid Seats Quota,Open,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru , Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018",1016990
MBBS,Deemed/Paid Seats Quota,Open,"ACS Medical College and Hospital, Chennai
, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",978180
MBBS,Non-Resident Indian,Open,"ACS Medical College and Hospital, Chennai
, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077",378223
MBBS,All India,EWS,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",19354
MBBS,All India,OBC,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",18140
MBBS,All India,Open,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",16524
MBBS,All India,SC,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",91752
MBBS,All India,ST,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004",114102
MBBS,All India,EWS,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006",20895
MBBS,All India,OBC,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006",19662
MBBS,All India,Open,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006",18900
MBBS,All India,SC,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006",91841
MBBS,All India,ST,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006",125167
MBBS,Open Seat Quota,EWS,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",3016
MBBS,Open Seat Quota,OBC,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",2871
MBBS,Open Seat Quota,Open,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",1271
MBBS,Open Seat Quota,Open PwD,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",210039
MBBS,Open Seat Quota,SC,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",26892
MBBS,Open Seat Quota,SC PwD,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",569585
MBBS,Open Seat Quota,ST,"AIIMS Bathinda  , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda, Punjab, 151001",43503
MBBS,Open Seat Quota,EWS,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh , All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal
Pradesh, 174001",3490
MBBS,Open Seat Quota,OBC,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh , All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal
Pradesh, 174001",3826
MBBS,Open Seat Quota,Open,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh , All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal
Pradesh, 174001",3079
MBBS,Open Seat Quota,SC,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh , All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal
Pradesh, 174001",33854
MBBS,Open Seat Quota,ST,"AIIMS Bilaspur Changar Palasiyan, Himachal Pradesh , All India Institute of Medical Sciences AIIMS
Kothipura Bilaspur Himachal Pradesh 174001, Himachal
Pradesh, 174001",63112
MBBS,Open Seat Quota,EWS,"AIIMS Guahawti , PO- CHANGSARI, DISTRICT-KAMRUP,
Assam, 781101",5817
MBBS,Open Seat Quota,OBC,"AIIMS Guahawti , PO- CHANGSARI, DISTRICT-KAMRUP,
Assam, 781101",5728
MBBS,Open Seat Quota,Open,"AIIMS Guahawti , PO- CHANGSARI, DISTRICT-KAMRUP,
Assam, 781101",4643
MBBS,Open Seat Quota,SC,"AIIMS Guahawti , PO- CHANGSARI, DISTRICT-KAMRUP,
Assam, 781101",44687
MBBS,Open Seat Quota,ST,"AIIMS Guahawti , PO- CHANGSARI, DISTRICT-KAMRUP,
Assam, 781101",70850
MBBS,Open Seat Quota,EWS,"AIIMS Jammu , AIIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410",6470
MBBS,Open Seat Quota,OBC,"AIIMS Jammu , AIIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410",5949
MBBS,Open Seat Quota,Open,"AIIMS Jammu , AIIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410",4491
MBBS,Open Seat Quota,SC,"AIIMS Jammu , AIIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410",42291
MBBS,Open Seat Quota,ST,"AIIMS Jammu , AIIMS
Vijaypur Samba Jammu, Jammu And Kashmir, 18410",80052
MBBS,Open Seat Quota,EWS,"AIIMS Mangalagiri  , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH,
Andhra Pradesh, 522503",3525
MBBS,Open Seat Quota,OBC,"AIIMS Mangalagiri  , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH,
Andhra Pradesh, 522503",3614
MBBS,Open Seat Quota,Open,"AIIMS Mangalagiri  , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH,
Andhra Pradesh, 522503",1815
MBBS,Open Seat Quota,SC,"AIIMS Mangalagiri  , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH,
Andhra Pradesh, 522503",33387
MBBS,Open Seat Quota,ST,"AIIMS Mangalagiri  , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH,
Andhra Pradesh, 522503",53123
MBBS,Open Seat Quota,EWS,"AIIMS Rajkot , Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",4393
MBBS,Open Seat Quota,OBC,"AIIMS Rajkot , Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",3759
MBBS,Open Seat Quota,Open,"AIIMS Rajkot , Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",3352
MBBS,Open Seat Quota,SC,"AIIMS Rajkot , Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",13803
MBBS,Open Seat Quota,ST,"AIIMS Rajkot , Temporary Campus AIIMS Rajkot Opposite PMSSY building
PDU MEdical college campus Civil hospital Ra, Gujarat, 360001",61539
MBBS,Open Seat Quota,EWS,"AIIMS, Bhubaneswar
, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-
751019, Odisha,
751019",1741
