,Institue
0,"AB
Shetty Memorial Inst. of Dental Sce., Mangalur u,Derala katte, Mangalur u, Dakshina Kannada
,
Karnatak a, 575018"
1,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru , Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018"
2,"AB Shetty Memorial Inst. of Dental Sce., Mangaluru,Deralakatte, Mangaluru, Dakshina Kannada, Karnataka, 575018"
3,"ACS
Medical College and Hospital, Chennai, Periyar EVR
High Raod, Velappan chavadi, Chennai- 77, Tamil Nadu, 600077"
4,"ACS Medical College and Hospital, Chennai
, Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077"
5,"ACS Medical College and Hospital, Chennai,Periyar EVR High Raod, Velappanchavadi, Chennai-77, Tamil Nadu, 600077"
6,"ACSR
Govt Medical College, Nellore,O PP TO AC SUBBA REDDY STADIU M DARGA MITTA NELLOR E
SPSR NELLOR E DISTRIC T,
Andhra Pradesh, 524004"
7,"ACSR Govt Medical College, Nellore , OPP TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE
SPSR NELLORE
DISTRICT, Andhra Pradesh, 524004"
8,"ACSR Govt Medical College, Nellore,OPP TO AC SUBBA REDDY STADIUM DARGAMITTA
NELLORE
SPSR NELLORE DISTRICT, Andhra Pradesh, 524004"
9,"AGARTA LA GOVT. DENTAL COLLEG E,AGAR TAL,IGM
Hospital Complex, Agartala, West Tripura, PIN- 799001,
Tripura, 799001"
10,"AGARTA LA GOVT. MEDICA L COLLEG E,AGAR TALA,Ku
njaban, Agartala, Tripura West, Tripura, 799006"
11,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL
, IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura,
799001"
12,"AGARTALA GOVT. DENTAL COLLEGE,AGARTAL,IGM Hospital Complex, Agartala, West Tripura, PIN- 799001, Tripura, 799001"
13,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTAL
A , Kunjaban, Agartala, Tripura West, Tripura, 799006"
14,"AGARTALA GOVT. MEDICAL COLLEGE,AGARTALA,Kunjaban, Agartala, Tripura West, Tripura, 799006"
